崔妮傑恩 微風信義店,,"號4樓, No. 68忠孝東路五段信義區台北市台灣 110",臺北市,信義區,25.040767,121.566845,"星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 21:30",,02 6623 5508,https://maps.google.com/?cid=9258862127927459762,1
Jimmy's Kitchen,,106台灣台北市大安區仁愛路四段77號號 B1,臺北市,大安區,25.0382157,121.5474228,"星期一: 11:30 – 15:00, 17:30 – 22:30,星期二: 11:30 – 15:00, 17:30 – 22:30,星期三: 11:30 – 15:00, 17:30 – 22:30,星期四: 11:30 – 15:00, 17:30 – 22:30,星期五: 11:30 – 15:00, 17:30 – 22:30,星期六: 11:30 – 15:00, 17:30 – 22:30,星期日: 11:30 – 15:00, 17:30 – 22:30",,02 2711 7750,https://maps.google.com/?cid=2939406781530267342,1
吉比鮮釀餐廳 - 信義店,,110台灣台北市信義區松壽路11號,臺北市,信義區,25.0371587,121.5671263,"星期一: 11:00 – 21:30,星期二: 11:00 – 21:30,星期三: 11:00 – 21:30,星期四: 11:00 – 21:30,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 21:30",,02 8786 7588,https://maps.google.com/?cid=7945470382632659910,1
台北君悅酒店 Bel Air 寶艾西餐廳,,110台灣台北市信義區松壽路2號2樓,臺北市,信義區,25.0355799,121.5620793,"星期一: 11:30 – 14:00, 18:00 – 21:00,星期二: 11:30 – 14:00, 18:00 – 21:00,星期三: 11:30 – 14:00, 18:00 – 21:00,星期四: 11:30 – 14:00, 18:00 – 21:00,星期五: 11:30 – 14:00, 18:00 – 21:30,星期六: 11:30 – 14:00, 18:00 – 21:30,星期日: 11:30 – 14:00, 18:00 – 21:00",,02 2720 1230,https://maps.google.com/?cid=10024935560964377364,1
Der Löwe Bavarian Restaurant 巴獅子德國餐廳,,"B1, No. 19號敦化南路二段63巷大安區台北市台灣 106",臺北市,大安區,25.0309783,121.5499473,"星期一: 休息,星期二: 休息,星期三: 17:30 – 22:00,星期四: 17:30 – 22:00,星期五: 17:30 – 22:00,星期六: 12:00 – 15:00, 17:30 – 22:00,星期日: 12:00 – 15:00, 17:30 – 22:00",,02 2325 6457,https://maps.google.com/?cid=4899815815877259739,1
Buttermilk 摩登美式餐廳,,10491台灣台北市中山區中山北路二段57之1號,臺北市,中山區,25.0557916,121.5230276,"星期一: 11:30 – 22:00,星期二: 11:30 – 22:00,星期三: 11:30 – 22:00,星期四: 11:30 – 22:00,星期五: 11:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 22:00",,02 2565 2898,https://maps.google.com/?cid=5759993304091414803,1
de nuit,,106台灣台北市大安區信義路四段175號,臺北市,大安區,25.0334883,121.5505407,"星期一: 休息,星期二: 18:00 – 22:30,星期三: 18:00 – 22:30,星期四: 18:00 – 22:30,星期五: 18:00 – 22:30,星期六: 11:00 – 15:00, 18:00 – 22:30,星期日: 休息",,02 2700 1958,https://maps.google.com/?cid=16216529995124386255,1
君品酒店 - 雲軒西餐廳 La Rotisserie,,103台灣台北市大同區承德路一段3號6樓,臺北市,大同區,25.0491433,121.5168672,"星期一: 12:00 – 14:30, 18:00 – 21:00,星期二: 12:00 – 14:30, 18:00 – 21:00,星期三: 12:00 – 14:30, 18:00 – 21:00,星期四: 12:00 – 14:30, 18:00 – 21:00,星期五: 12:00 – 14:30, 18:00 – 21:00,星期六: 12:00 – 14:30, 18:00 – 21:00,星期日: 12:00 – 14:30, 18:00 – 21:00",,02 2181 9977,https://maps.google.com/?cid=5141713374703786158,1
Mama Inca印加媽媽秘魯餐館,,"台北市大安區瑞安街31巷1-1號 no.1, No. 1, lane31, Rei-an street, 大安區台北市台灣 106",臺北市,大安區,25.0307524,121.5439998,"星期一: 休息,星期二: 12:00 – 14:00, 17:30 – 21:00,星期三: 12:00 – 14:00, 17:30 – 21:00,星期四: 12:00 – 14:00, 17:30 – 21:00,星期五: 12:00 – 14:00, 17:30 – 21:00,星期六: 12:00 – 14:00, 17:30 – 21:00,星期日: 12:00 – 14:00, 17:30 – 21:00",,02 2709 2832,https://maps.google.com/?cid=15465834099570978647,1
SoShow Bar & Restaurant/local cocktail/中山區酒吧/台灣特調,,"2f, No. 47號中山北路一段中山區台北市台灣 104",臺北市,中山區,25.0492196,121.5215264,"星期一: 18:00 – 01:30,星期二: 18:00 – 01:30,星期三: 18:00 – 01:30,星期四: 18:00 – 01:30,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 01:30",,02 2563 0519,https://maps.google.com/?cid=12894494929517118448,1
一蘭 台灣台北本店,,110台灣台北市信義區松仁路97號,臺北市,信義區,25.0361643,121.5693468,"星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業",,02 2758 3868,https://maps.google.com/?cid=3153630272792140271,1
Chili's Grill & Bar美式休閒餐廳-信義店 (Xinyi),,110台灣台北市信義區松壽路22號,臺北市,信義區,25.0355335,121.5677574,"星期一: 11:30 – 14:30, 17:30 – 22:00,星期二: 11:30 – 14:30, 17:30 – 22:00,星期三: 11:30 – 14:30, 17:30 – 22:00,星期四: 11:30 – 14:30, 17:30 – 22:00,星期五: 11:30 – 14:30, 17:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 22:00",,02 2345 8838,https://maps.google.com/?cid=18444774954606368562,1
隨意鳥地方101觀景餐廳,,110台灣台北市信義區信義路五段7號85F,臺北市,信義區,25.0335715,121.5649428,"星期一: 11:30 – 15:00, 17:30 – 21:30,星期二: 11:30 – 15:00, 17:30 – 21:30,星期三: 11:30 – 15:00, 17:30 – 21:30,星期四: 11:30 – 15:00, 17:30 – 21:30,星期五: 11:30 – 15:00, 17:30 – 21:30,星期六: 11:30 – 15:00, 17:30 – 21:30,星期日: 11:30 – 15:00, 17:30 – 21:30",,02 8101 0016,https://maps.google.com/?cid=5059365380531189586,1
| 松果院子 | Restaurant Pinecone,,105台灣台北市松山區富錦街449號,臺北市,松山區,25.0609466,121.5615693,"星期一: 11:00 – 21:00,星期二: 11:00 – 21:00,星期三: 11:00 – 21:00,星期四: 11:00 – 21:00,星期五: 11:00 – 21:00,星期六: 11:00 – 21:00,星期日: 11:00 – 21:00",,02 2765 0386,https://maps.google.com/?cid=4384635665620557196,1
昆明園 Kunming Islamic Restaurant,,105台灣台北市松山區復興北路81巷26號,臺北市,松山區,25.0510673,121.545166,"星期一: 11:30 – 14:00, 17:30 – 21:00,星期二: 11:30 – 14:00, 17:30 – 21:00,星期三: 11:30 – 14:00, 17:30 – 21:00,星期四: 11:30 – 14:00, 17:30 – 21:00,星期五: 11:30 – 14:00, 17:30 – 21:00,星期六: 17:30 – 21:00,星期日: 17:30 – 21:00",,02 2751 6776,https://maps.google.com/?cid=5574949563295418170,1
宋廚菜館,,110台灣台北市信義區忠孝東路五段15巷14號,臺北市,信義區,25.0417878,121.5654718,"星期一: 11:30 – 14:00, 17:30 – 21:00,星期二: 11:30 – 14:00, 17:30 – 21:00,星期三: 11:30 – 14:00, 17:30 – 21:00,星期四: 11:30 – 14:00, 17:30 – 21:00,星期五: 11:30 – 14:00, 17:30 – 21:00,星期六: 11:30 – 14:00, 17:30 – 21:00,星期日: 休息",,02 2764 4788,https://maps.google.com/?cid=2300000221384265533,1
波記茶餐廳,,106台灣台北市大安區延吉街70巷8號,臺北市,大安區,25.0425633,121.5533784,"星期一: 11:30 – 21:00,星期二: 11:30 – 21:00,星期三: 11:30 – 21:00,星期四: 11:30 – 21:00,星期五: 11:30 – 21:00,星期六: 11:30 – 21:00,星期日: 11:30 – 21:00",,02 8773 1913,https://maps.google.com/?cid=16445617414472767515,1
A.I.O 餐廳 (all In One Restaurants),,110台灣台北市信義區基隆路一段101巷23號,臺北市,信義區,25.0445679,121.5681268,"星期一: 17:30 – 23:00,星期二: 休息,星期三: 17:30 – 23:00,星期四: 11:30 – 13:30, 17:30 – 23:00,星期五: 11:30 – 13:30, 17:30 – 23:00,星期六: 11:30 – 23:00,星期日: 11:30 – 21:30",,02 2767 7058,https://maps.google.com/?cid=15795179774796243192,1
